id_apolice,numero,data_inicio,data_fim,valor_premio,cobertura,id_cliente,id_carro
1,AP-00001,2024-01-01,2025-01-01,1800.00,Compreensiva,1,1
2,AP-00002,2024-02-01,2025-02-01,1200.00,Básica,2,2
3,AP-00003,2024-01-15,2025-01-15,2100.00,Compreensiva,3,3
4,AP-00004,2024-03-01,2025-03-01,900.00,Básica,4,4
5,AP-00005,2024-02-15,2025-02-15,2500.00,Total,5,5
6,AP-00006,2024-04-01,2025-04-01,1600.00,Compreensiva,6,6
7,AP-00007,2024-01-20,2025-01-20,800.00,Básica,7,7
8,AP-00008,2024-03-10,2025-03-10,3000.00,Total,8,8
9,AP-00009,2024-05-01,2025-05-01,1400.00,Compreensiva,9,9
10,AP-00010,2024-02-20,2025-02-20,1100.00,Básica,10,10
